Formula,formula_embedding,Volume,Density,Formation_Energy_per_atom,Energy_Above_Hull,Band_Gap_eV
FeBiO3,"[-0.0747, -0.5475, -0.1745, -0.936, -0.0089, 0.85, 0.4138, 0.4769]",246.2916288,8.436434665,-1.41777004,0.256639245,0.1276
BaClO3,"[-0.1029, -0.0911, 0.3728, -0.8012, -0.4362, 0.9238, 0.1357, 0.5266]",202.2212547,3.625838706,-1.212395542,0.496639524,0
CdSnO3,"[-0.2484, -0.0547, -0.2815, -1.0536, 0.1891, 0.9315, 0.2167, 0.4506]",155.8133142,5.949277673,-1.75813686,0.079610972,0.7079
CaRhO3,"[-0.0452, -0.5405, -0.1133, -0.4622, -0.075, 1.23, 0.4271, 0.1466]",335.7858589,5.666693199,-2.087925934,0.005130363,0
CaSbO3,"[-0.1294, -0.0862, -0.1454, -0.3939, -0.0458, 0.9497, 0.2538, 0.4885]",276.5959215,5.038992705,-2.436817919,0.110777845,0
MgSbO3,"[0.2231, -0.0942, -0.1253, -1.0349, -0.1591, 0.9384, 0.0084, 0.3585]",245.4308163,5.251981473,-2.173690773,0.198446434,0.5657
ZnSbO3,"[-0.2521, -0.3582, 0.0925, -1.136, -0.1074, 0.9777, -0.2621, 0.9559]",246.0512161,6.348342089,-1.662044271,0.161283417,0.3548
CdFeO3,"[-0.3211, -0.6511, -0.2844, -1.0171, 0.382, 1.2958, 0.1457, 0.8858]",225.9259817,6.357808779,-1.30122432,0.09994108,0
CeBO3,"[0.3427, -0.2189, -0.1154, -0.8693, 0.1772, 1.1772, -0.0208, 0.1765]",124.8465089,5.291666846,-3.406526372,0.005873612,0.0293
PbSeO3,"[0.3599, -0.4089, -0.0301, -0.9214, 0.2733, 0.6204, 0.2653, 0.8126]",158.841815,6.986607974,-1.455736836,0.000837875,2.8909
PbSO3,"[-0.1685, -0.2965, 0.1587, -0.4832, 0.4171, 0.6551, 0.5662, 0.9514]",154.0130327,6.194433778,-1.715408565,0.082569257,3.2251
KClO3,"[0.2781, 0.1942, 0.1884, -0.7926, -0.155, 0.8358, -0.2303, 0.4705]",185.0278073,2.199650261,-1.148729709,0.050930347,5.4717
BaCO3,"[0.1394, -0.2535, -0.0633, -0.6112, -0.5771, 0.7001, 0.0552, 0.2329]",158.4914239,4.135037254,-2.667319117,0.015460144,4.4436
NiBiO3,"[0.1218, 0.1093, -0.2134, -1.2748, -0.1479, 0.6978, 0.6664, -0.1053]",239.417958,8.757667012,-1.333310959,0.032242591,0.3548
KNO3,"[0.1384, -0.2462, -0.1821, -0.847, -0.1325, 0.7059, 0.2084, 0.9395]",155.5228997,2.158985126,-1.415102506,0.007036091,3.5471
SrSeO3,"[0.2348, -0.4962, -0.2694, -1.2731, -0.255, 0.6749, -0.0296, 0.6732]",153.2118213,4.651279267,-2.315657463,0,3.7027
BaCO3,"[0.1394, -0.2535, -0.0633, -0.6112, -0.5771, 0.7001, 0.0552, 0.2329]",151.3258504,4.330839316,-2.647419671,0.03535959,4.3543
KNO3,"[0.1384, -0.2462, -0.1821, -0.847, -0.1325, 0.7059, 0.2084, 0.9395]",172.7027646,1.944216863,-1.414639042,0.007499555,2.9765
BaTeO3,"[-0.5248, -0.6174, -0.3265, -0.7291, -0.0251, 1.224, 0.3167, 0.3413]",189.2637879,5.491008348,-2.357057434,0,2.7149
PdSeO3,"[0.6469, -0.1463, -0.3684, -0.7759, 0.023, 0.4527, -0.453, 1.0343]",154.6848995,5.010619907,-1.032893985,0,1.0589
SrCoO3,"[-0.0803, -0.8291, -0.2774, -1.3646, -0.7516, 0.9698, 0.0194, 0.1544]",262.5970297,4.921002986,-1.912309171,0.087510576,0
AgTeO3,"[-0.1209, -0.651, -0.4417, -0.9633, 0.3233, 1.3858, 0.4138, 0.5324]",274.1800335,6.867123404,-1.126301109,0.020124158,1.1676
BaSeO3,"[0.014, -0.3623, -0.092, -0.9998, -0.1121, 0.536, 0.009, 0.5925]",176.7597079,4.965564886,-2.318079119,0,3.8866
LaBO3,"[-0.0858, -0.1792, -0.338, -0.958, -0.2381, 1.0017, -0.2269, 0.3833]",127.9443149,5.132122266,-3.506930753,0.014214797,4.0022
EuSeO3,"[0.3461, -0.466, -0.3994, -0.9663, -0.3942, 0.7556, 0.0035, 0.6331]",148.4742738,6.238942248,-2.250813653,0,0.0866
